Општина,Школа,Мин. бодова,Укупно места,Преостало места
Чока,"Хемијско-прехрамбена средња школа, Чока",38.05,90,60
Чукарица,"Техничка школа , Београд (Чукарица)",43.61,60,25
Чукарица,"Хемијско-прехрамбена технолошка школа, Београд (Чукарица)",40.56,210,108
Шабац,"Средња пољопривредна школа са домом ученика - Шабац, Шабац",35.44,180,62
Шабац,"Стручна хемијска и текстилна школа, Шабац",40.54,30,23
Шабац,"Техничка школа , Шабац",43.19,30,10
Шабац,"Шабачка гимназија, Шабац",63.97,60,2
Шид,"Гимназија ""Сава Шумановић"", Шид",58.88,90,50
Шид,"Техничка школа ""Никола Тесла"", Шид",43.04,120,46
Штрпце,"Економско-трговинска школа ""Јован Цвијић"", Штрпце",46.54,80,56
